Finny_GLCode;Finny_GLDescription;BalanceTypeCode;BalanceTypeDescription;cgClassificationNewStyle6_GLSchemeCode;GLClassificationCode_RGS versie 3.5;GLClassificationDescr_RGS versie 3.5Description;TypeCode;TypeDescriptionDescription;BalanceSideDescription;BalanceSideCode;InterpretationHint;SemanticDescription
1610;Crediteuren zonder sub;B;Balans;RGS versie 3.5;BSchCreHac;Handelscrediteuren nominaal schulden aan leveranciers en handelskredieten;60;Overige schulden;Credit;C;BALANS;"crediteuren zonder sub | tags: balans; crediteuren"
1700;Loonheffingen;B;Balans;RGS versie 3.5;BSchBepLhe;Te betalen Loonheffing belastingen en premies sociale verzekeringen;60;Overige schulden;Credit;C;BALANS;"loonheffingen | tags: balans; loon; personeel"
1710;Sociale lasten;B;Balans;RGS versie 3.5;BSchSalPsv;Premies sociale verzekeringen overige schulden;60;Overige schulden;Credit;C;BALANS;sociale lasten | tags: balans
1720;Pensioenpremies;B;Balans;RGS versie 3.5;BSchSalPsv;Premies sociale verzekeringen overige schulden;60;Overige schulden;Credit;C;BALANS;pensioenpremies | tags: balans
1725;Vakantiefondsafdracht;B;Balans;RGS versie 3.5;BSchSalPsv;Premies sociale verzekeringen overige schulden;60;Overige schulden;Credit;C;BALANS;vakantiefondsafdracht | tags: balans
1730;Reservering vakantiegeld;B;Balans;RGS versie 3.5;BSchSalTvg;Te betalen vakantiegeld overige schulden;60;Overige schulden;Credit;C;BOTH;reservering vakantiegeld | tags: balans_en_w&v
1731;Reservering 2;B;Balans;RGS versie 3.5;BSchOpaNtb;Nog te betalen andere kosten overlopende passiva;60;Overige schulden;Credit;C;BOTH;reservering 2 | tags: balans_en_w&v
1732;Reservering 3;B;Balans;RGS versie 3.5;BSchOpaNtb;Nog te betalen andere kosten overlopende passiva;60;Overige schulden;Credit;C;BOTH;reservering 3 | tags: balans_en_w&v
1733;Reservering 4;B;Balans;RGS versie 3.5;BSchOpaNtb;Nog te betalen andere kosten overlopende passiva;60;Overige schulden;Credit;C;BOTH;reservering 4 | tags: balans_en_w&v
1740;Reservering vakantiedagen;B;Balans;RGS versie 3.5;BSchSalTbv;Reservering vakantiedagen overige schulden;60;Overige schulden;Credit;C;BOTH;reservering vakantiedagen | tags: balans_en_w&v
1800;Vennootschapsbelasting;B;Balans;RGS versie 3.5;BSchBepVpb;Te betalen Vennootschapsbelasting;60;Overige schulden;Credit;C;BALANS;vennootschapsbelasting | tags: balans
1810;Dividendbelasting;B;Balans;RGS versie 3.5;BSchBepVpb;Te betalen Vennootschapsbelasting;60;Overige schulden;Credit;C;BALANS;dividendbelasting | tags: balans
1900;Nog te ontvangen bedragen;B;Balans;RGS versie 3.5;BVorOvrOvk;Overige vorderingen overige vorderingen;60;Overige schulden;Debet;D;BALANS;nog te ontvangen bedragen | tags: balans
1910;Vooruitbetaalde bedragen;B;Balans;RGS versie 3.5;BVorOvaVof;Vooruitbetaalde facturen overlopende activa;26;Vooruitbetalingen;Debet;D;BOTH;vooruitbetaalde bedragen | tags: balans_en_w&v
1920;Nog te betalen bedragen;B;Balans;RGS versie 3.5;BSchOpaNtb;Nog te betalen andere kosten overlopende passiva;60;Overige schulden;Credit;C;BALANS;nog te betalen bedragen | tags: balans
1930;Vooruitontvangen bedragen;B;Balans;RGS versie 3.5;BSchOpaVor;Vooruitontvangen rente overlopende passiva;60;Overige schulden;Credit;C;BOTH;vooruitontvangen bedragen | tags: balans_en_w&v
1940;Amounts to be invoiced;B;Balans;RGS versie 3.5;BVorOvaNtf;Nog te factureren of nog te verzenden facturen overlopende activa;26;Vooruitbetalingen;Debet;D;BALANS;amounts to be invoiced | tags: balans
1950;Vooruitgefactureerde omzet;B;Balans;RGS versie 3.5;BSchOpaOop;Overige overlopende passiva overlopende passiva;60;Overige schulden;Credit;C;BALANS;vooruitgefactureerde omzet | tags: balans
2000;Nettolonen;B;Balans;RGS versie 3.5;BSchSalNet;Netto lonen overige schulden;60;Overige schulden;Credit;C;BALANS;nettolonen | tags: balans
2010;Inhouding Hiaat verzekeringen;B;Balans;RGS versie 3.5;BSchOpaNtb;Nog te betalen andere kosten overlopende passiva;60;Overige schulden;Credit;C;BALANS;"inhouding hiaat verzekeringen | tags: balans; verzekering"
2200;Kruisposten;B;Balans;RGS versie 3.5;BLimKruSto;Stortingen onderweg kruisposten;60;Overige schulden;Debet;D;BALANS;kruisposten | tags: balans
2210;Kruisposten pin;B;Balans;RGS versie 3.5;BLimKruPib;PIN betalingen kruisposten;60;Overige schulden;Debet;D;BALANS;kruisposten pin | tags: balans
2220;Kruisposten creditcard;B;Balans;RGS versie 3.5;BLimKruCra;Creditcard afrekening kruisposten;60;Overige schulden;Debet;D;BALANS;kruisposten creditcard | tags: balans
2230;Kruisposten 1;B;Balans;RGS versie 3.5;BLimKruSto;Stortingen onderweg kruisposten;60;Overige schulden;Debet;D;BALANS;kruisposten 1 | tags: balans
2240;Kruisposten 2;B;Balans;RGS versie 3.5;BLimKruSto;Stortingen onderweg kruisposten;60;Overige schulden;Debet;D;BALANS;kruisposten 2 | tags: balans
2250;Kruisposten 3;B;Balans;RGS versie 3.5;BLimKruSto;Stortingen onderweg kruisposten;60;Overige schulden;Debet;D;BALANS;kruisposten 3 | tags: balans
2260;Kruisposten 4;B;Balans;RGS versie 3.5;BLimKruSto;Stortingen onderweg kruisposten;60;Overige schulden;Debet;D;BALANS;kruisposten 4 | tags: balans
2270;Kruisposten 5;B;Balans;RGS versie 3.5;BLimKruSto;Stortingen onderweg kruisposten;60;Overige schulden;Debet;D;BALANS;kruisposten 5 | tags: balans
2290;Tussenrekening bank;B;Balans;RGS versie 3.5;BLimKruSto;Stortingen onderweg kruisposten;90;Algemeen;Credit;C;BALANS;"tussenrekening bank | tags: balans; bank"
2291;Tussenrekening incasso's;B;Balans;RGS versie 3.5;BVorDebHad;Handelsdebiteuren nominaal;90;Algemeen;Credit;C;BALANS;tussenrekening incasso's | tags: balans
2300;Personeelskosten;B;Balans;RGS versie 3.5;BSchOpaNtb;Nog te betalen andere kosten overlopende passiva;60;Overige schulden;Debet;D;BALANS;"personeelskosten | tags: balans; loon; personeel"
2400;Huisvestingskosten;B;Balans;RGS versie 3.5;BVorOvaOoa;Overige overlopende activa overlopende activa;60;Overige schulden;Debet;D;BALANS;"huisvestingskosten | tags: balans; gebouw; huisvesting; pand"
2500;Exploitatiekosten;B;Balans;RGS versie 3.5;BSchOpaNtb;Nog te betalen andere kosten overlopende passiva;60;Overige schulden;Debet;D;BALANS;exploitatiekosten | tags: balans
2600;Autokosten;B;Balans;RGS versie 3.5;BSchOpaNtb;Nog te betalen andere kosten overlopende passiva;60;Overige schulden;Debet;D;BALANS;"autokosten | tags: auto; balans; vervoermiddel"
2700;Verkoopkosten;B;Balans;RGS versie 3.5;BSchOpaNtb;Nog te betalen andere kosten overlopende passiva;60;Overige schulden;Debet;D;BALANS;verkoopkosten | tags: balans
2800;Kantoorkosten;B;Balans;RGS versie 3.5;BSchOpaNtb;Nog te betalen andere kosten overlopende passiva;60;Overige schulden;Debet;D;BALANS;kantoorkosten | tags: balans
2900;Algemene kosten;B;Balans;RGS versie 3.5;BSchOpaNtb;Nog te betalen andere kosten overlopende passiva;60;Overige schulden;Debet;D;BALANS;algemene kosten | tags: balans
2990;Financiële baten en lasten;B;Balans;RGS versie 3.5;BSchOpaNtb;Nog te betalen andere kosten overlopende passiva;60;Overige schulden;Debet;D;BALANS;financiële baten en lasten | tags: balans
3000;Voorraad gereed product 1;B;Balans;RGS versie 3.5;BVrdGepVoo;Gereed product, bruto gereed product;40;Voorraad;Debet;D;BALANS;"voorraad gereed product 1 | tags: balans; voorraad"
3010;Voorraad gereed product 2;B;Balans;RGS versie 3.5;BVrdGepVoo;Gereed product, bruto gereed product;40;Voorraad;Debet;D;BALANS;"voorraad gereed product 2 | tags: balans; voorraad"
3020;Voorraad gereed product 3;B;Balans;RGS versie 3.5;BVrdGepVoo;Gereed product, bruto gereed product;40;Voorraad;Debet;D;BALANS;"voorraad gereed product 3 | tags: balans; voorraad"
3030;Voorraad gereed product 4;B;Balans;RGS versie 3.5;BVrdGepVoo;Gereed product, bruto gereed product;40;Voorraad;Debet;D;BALANS;"voorraad gereed product 4 | tags: balans; voorraad"
3040;Voorraad gereed product 5;B;Balans;RGS versie 3.5;BVrdGepVoo;Gereed product, bruto gereed product;40;Voorraad;Debet;D;BALANS;"voorraad gereed product 5 | tags: balans; voorraad"
3100;Voorraad handelsgoederen;B;Balans;RGS versie 3.5;BVrdHanVoo;Handelsgoederen, bruto handelsgoederen;40;Voorraad;Debet;D;BALANS;"voorraad handelsgoederen | tags: balans; voorraad"
3110;Voorraad handelsgoederen 2;B;Balans;RGS versie 3.5;BVrdHanVoo;Handelsgoederen, bruto handelsgoederen;40;Voorraad;Debet;D;BALANS;"voorraad handelsgoederen 2 | tags: balans; voorraad"
3120;Voorraad handelsgoederen 3;B;Balans;RGS versie 3.5;BVrdHanVoo;Handelsgoederen, bruto handelsgoederen;40;Voorraad;Debet;D;BALANS;"voorraad handelsgoederen 3 | tags: balans; voorraad"
3130;Voorraad handelsgoederen 4;B;Balans;RGS versie 3.5;BVrdHanVoo;Handelsgoederen, bruto handelsgoederen;40;Voorraad;Debet;D;BALANS;"voorraad handelsgoederen 4 | tags: balans; voorraad"
3140;Voorraad handelsgoederen 5;B;Balans;RGS versie 3.5;BVrdHanVoo;Handelsgoederen, bruto handelsgoederen;40;Voorraad;Debet;D;BALANS;"voorraad handelsgoederen 5 | tags: balans; voorraad"
3150;Voorraad handelsgoederen 6;B;Balans;RGS versie 3.5;BVrdHanVoo;Handelsgoederen, bruto handelsgoederen;40;Voorraad;Debet;D;BALANS;"voorraad handelsgoederen 6 | tags: balans; voorraad"
3160;Voorraad handelsgoederen 7;B;Balans;RGS versie 3.5;BVrdHanVoo;Handelsgoederen, bruto handelsgoederen;40;Voorraad;Debet;D;BALANS;"voorraad handelsgoederen 7 | tags: balans; voorraad"
3170;Voorraad handelsgoederen 8;B;Balans;RGS versie 3.5;BVrdHanVoo;Handelsgoederen, bruto handelsgoederen;40;Voorraad;Debet;D;BALANS;"voorraad handelsgoederen 8 | tags: balans; voorraad"
3180;Voorraad handelsgoederen 9;B;Balans;RGS versie 3.5;BVrdHanVoo;Handelsgoederen, bruto handelsgoederen;40;Voorraad;Debet;D;BALANS;"voorraad handelsgoederen 9 | tags: balans; voorraad"
3190;Voorraad handelsgoederen 10;B;Balans;RGS versie 3.5;BVrdHanVoo;Handelsgoederen, bruto handelsgoederen;40;Voorraad;Debet;D;BALANS;"voorraad handelsgoederen 10 | tags: balans; voorraad"
3200;Incourante voorraad gereed product;B;Balans;RGS versie 3.5;BVrdGepVoo;Gereed product, bruto gereed product;40;Voorraad;Debet;D;BALANS;"incourante voorraad gereed product | tags: balans; voorraad"
3210;Incourante voorraad handelsgoederen;B;Balans;RGS versie 3.5;BVrdHanVic;Handelsgoederen, voorziening incourante handelsgoederen handelsgoederen;40;Voorraad;Debet;D;BALANS;"incourante voorraad handelsgoederen | tags: balans; voorraad"
3300;Onderhanden werk;B;Balans;RGS versie 3.5;BVrdOweVoo;Onderhanden werk, bruto onderhanden werk;40;Voorraad;Debet;D;BALANS;onderhanden werk | tags: balans
3400;Emballage;B;Balans;RGS versie 3.5;BVrdEmbVoo;Voorraad emballage, bruto emballage;40;Voorraad;Debet;D;BALANS;emballage | tags: balans
4000;Bruto loon;W;Winst & Verlies;RGS versie 3.5;WPerLesLon;Lonen en salarissen;120;Overige kosten;Debet;D;W&V;"bruto loon | tags: loon; personeel; w&v"
4001;Overwerktoeslag;W;Winst & Verlies;RGS versie 3.5;WPerLesVag;Vakantiebijslag lonen en salarissen;120;Overige kosten;Debet;D;W&V;overwerktoeslag | tags: w&v
4002;Feestdagentoeslag;W;Winst & Verlies;RGS versie 3.5;WPerLesVag;Vakantiebijslag lonen en salarissen;120;Overige kosten;Debet;D;W&V;feestdagentoeslag | tags: w&v
4003;Mutatie vakantiegeldreservering;W;Winst & Verlies;RGS versie 3.5;WPerLesVag;Vakantiebijslag lonen en salarissen;120;Overige kosten;Debet;D;BOTH;mutatie vakantiegeldreservering | tags: balans_en_w&v
4004;Mutatie vakantiedagenreservering;W;Winst & Verlies;RGS versie 3.5;WPerLesVad;Vakantiedagen lonen en salarissen;120;Overige kosten;Debet;D;BOTH;mutatie vakantiedagenreservering | tags: balans_en_w&v
4005;Bijzondere beloningen;W;Winst & Verlies;RGS versie 3.5;WPerLesOlr;Overige lonen en salarissen lonen en salarissen;120;Overige kosten;Debet;D;W&V;bijzondere beloningen | tags: w&v
4006;Bijdrage ziektekosten;W;Winst & Verlies;RGS versie 3.5;WPerSolBiz;Bijdrage ziektekostenverzekering sociale lasten;120;Overige kosten;Debet;D;W&V;bijdrage ziektekosten | tags: w&v
4007;Ziekengeld;W;Winst & Verlies;RGS versie 3.5;WBedOvpZie;Ziekengeldverzekering overige personeelskosten;120;Overige kosten;Debet;D;W&V;ziekengeld | tags: w&v
4008;Sociale lasten werkgever;W;Winst & Verlies;RGS versie 3.5;WPerSolPsv;Premies sociale verzekeringen sociale lasten;120;Overige kosten;Debet;D;W&V;sociale lasten werkgever | tags: w&v
4009;Pensioenpremies;W;Winst & Verlies;RGS versie 3.5;WPerPenPen;Pensioenpremies pensioenlasten;120;Overige kosten;Debet;D;W&V;pensioenpremies | tags: w&v
4010;Opbrengsten afdrachtverminderingen;W;Winst & Verlies;RGS versie 3.5;WPerLesOlr;Overige lonen en salarissen lonen en salarissen;120;Overige kosten;Debet;D;W&V;opbrengsten afdrachtverminderingen | tags: w&v
4011;Kosten spaarloon;W;Winst & Verlies;RGS versie 3.5;WPerLesLon;Lonen en salarissen;120;Overige kosten;Debet;D;W&V;"kosten spaarloon | tags: loon; personeel; w&v"
4012;Mutatie pensioenvoorziening;W;Winst & Verlies;RGS versie 3.5;WPerPenDpe;Dotatie pensioenvoorziening directie;120;Overige kosten;Debet;D;BOTH;mutatie pensioenvoorziening | tags: balans_en_w&v
4013;Oprenting reserve uitgesteld salaris;W;Winst & Verlies;RGS versie 3.5;WPerLesLon;Lonen en salarissen;120;Overige kosten;Debet;D;W&V;"oprenting reserve uitgesteld salaris | tags: loon; personeel; w&v"
4014;Mutatie reservering 2;W;Winst & Verlies;RGS versie 3.5;WPerLesVad;Vakantiedagen lonen en salarissen;120;Overige kosten;Debet;D;BOTH;mutatie reservering 2 | tags: balans_en_w&v
4015;Mutatie reservering 3;W;Winst & Verlies;RGS versie 3.5;WPerLesVad;Vakantiedagen lonen en salarissen;120;Overige kosten;Debet;D;BOTH;mutatie reservering 3 | tags: balans_en_w&v
4016;Mutatie reservering 4;W;Winst & Verlies;RGS versie 3.5;WPerLesVad;Vakantiedagen lonen en salarissen;120;Overige kosten;Debet;D;BOTH;mutatie reservering 4 | tags: balans_en_w&v
4017;Eindheffingen;W;Winst & Verlies;RGS versie 3.5;WPerLesLon;Lonen en salarissen;120;Overige kosten;Debet;D;W&V;eindheffingen | tags: w&v
4020;Doorbelaste loonkosten 1;W;Winst & Verlies;RGS versie 3.5;WBedOvpOvp;Overige personeelskosten niet elders genoemd overige personeelskosten;120;Overige kosten;Credit;C;W&V;"doorbelaste loonkosten 1 | tags: loon; personeel; w&v"
4021;Doorbelaste loonkosten 2;W;Winst & Verlies;RGS versie 3.5;WBedOvpOvp;Overige personeelskosten niet elders genoemd overige personeelskosten;120;Overige kosten;Credit;C;W&V;"doorbelaste loonkosten 2 | tags: loon; personeel; w&v"
4022;Doorbelaste loonkosten 3;W;Winst & Verlies;RGS versie 3.5;WBedOvpOvp;Overige personeelskosten niet elders genoemd overige personeelskosten;120;Overige kosten;Credit;C;W&V;"doorbelaste loonkosten 3 | tags: loon; personeel; w&v"
4023;Doorbelaste loonkosten 4;W;Winst & Verlies;RGS versie 3.5;WBedOvpOvp;Overige personeelskosten niet elders genoemd overige personeelskosten;120;Overige kosten;Credit;C;W&V;"doorbelaste loonkosten 4 | tags: loon; personeel; w&v"
4024;Doorbelaste loonkosten 5;W;Winst & Verlies;RGS versie 3.5;WBedOvpOvp;Overige personeelskosten niet elders genoemd overige personeelskosten;120;Overige kosten;Credit;C;W&V;"doorbelaste loonkosten 5 | tags: loon; personeel; w&v"
4030;Onkostenvergoedingen personeel;W;Winst & Verlies;RGS versie 3.5;WBedOvpWer;Wervingskosten overige personeelskosten;121;Algemene kosten;Debet;D;W&V;"onkostenvergoedingen personeel | tags: loon; personeel; w&v"
4034;Kilometervergoeding personeel;W;Winst & Verlies;RGS versie 3.5;WBedWkrWkgVro;Vergoeding reiskosten (tot € 0,19) per kilometer overige personeelsgerelateerde kosten;121;Algemene kosten;Debet;D;W&V;"kilometervergoeding personeel | tags: loon; personeel; w&v"
4035;Reiskostenvergoedingen personeel;W;Winst & Verlies;RGS versie 3.5;WBedWkrWkgVro;Vergoeding reiskosten (tot € 0,19) per kilometer overige personeelsgerelateerde kosten;121;Algemene kosten;Debet;D;W&V;"reiskostenvergoedingen personeel | tags: loon; personeel; w&v"
4036;Onbelaste vergoedingen;W;Winst & Verlies;RGS versie 3.5;WBedWkrWkgVro;Vergoeding reiskosten (tot € 0,19) per kilometer overige personeelsgerelateerde kosten;121;Algemene kosten;Debet;D;W&V;onbelaste vergoedingen | tags: w&v
4037;Bijdrage leaseauto;W;Winst & Verlies;RGS versie 3.5;WBedAutBwl;Bijdrage werknemers leaseregeling autokosten;121;Algemene kosten;Debet;D;W&V;"bijdrage leaseauto | tags: auto; vervoermiddel; w&v"
4038;Inhouding diversen;W;Winst & Verlies;RGS versie 3.5;WBedOvpOvp;Overige personeelskosten niet elders genoemd overige personeelskosten;121;Algemene kosten;Debet;D;W&V;inhouding diversen | tags: w&v
4039;Premiekorting;W;Winst & Verlies;RGS versie 3.5;WBedOvpOvp;Overige personeelskosten niet elders genoemd overige personeelskosten;121;Algemene kosten;Debet;D;W&V;premiekorting | tags: w&v
4040;Kosten Arbodienst;W;Winst & Verlies;RGS versie 3.5;WBedOvpAbd;Arbodienst overige personeelskosten;120;Overige kosten;Debet;D;W&V;kosten arbodienst | tags: w&v
4045;Verzekeringen personeel;W;Winst & Verlies;RGS versie 3.5;WBedOvpZie;Ziekengeldverzekering overige personeelskosten;120;Overige kosten;Debet;D;W&V;"verzekeringen personeel | tags: loon; personeel; verzekering; w&v"
4050;Kantinekosten;W;Winst & Verlies;RGS versie 3.5;WBedOvpOvp;Overige personeelskosten niet elders genoemd overige personeelskosten;120;Overige kosten;Debet;D;W&V;kantinekosten | tags: w&v
4060;Ziekengeldverzekering;W;Winst & Verlies;RGS versie 3.5;WBedOvpZie;Ziekengeldverzekering overige personeelskosten;120;Overige kosten;Debet;D;W&V;"ziekengeldverzekering | tags: verzekering; w&v"
4070;Opleidingskosten personeel;W;Winst & Verlies;RGS versie 3.5;WBedOvpWer;Wervingskosten overige personeelskosten;120;Overige kosten;Debet;D;W&V;"opleidingskosten personeel | tags: loon; personeel; w&v"
4075;Bedrijfskleding;W;Winst & Verlies;RGS versie 3.5;WBedOvpOvp;Overige personeelskosten niet elders genoemd overige personeelskosten;120;Overige kosten;Debet;D;W&V;bedrijfskleding | tags: w&v
4080;Uitzendkrachten;W;Winst & Verlies;RGS versie 3.5;WBedOvpUik;Uitzendkrachten overige personeelskosten;120;Overige kosten;Debet;D;W&V;uitzendkrachten | tags: w&v
4090;Overige personeelskosten;W;Winst & Verlies;RGS versie 3.5;WBedOvpOvp;Overige personeelskosten niet elders genoemd overige personeelskosten;120;Overige kosten;Debet;D;W&V;"overige personeelskosten | tags: loon; personeel; w&v"
4095;Werkkostenregeling;W;Winst & Verlies;RGS versie 3.5;WBedOvpOvp;Overige personeelskosten niet elders genoemd overige personeelskosten;120;Overige kosten;Debet;D;W&V;werkkostenregeling | tags: w&v
4100;Huur;W;Winst & Verlies;RGS versie 3.5;WBedHuiBeh;Betaalde huur huisvestingskosten;121;Algemene kosten;Debet;D;W&V;"huur | tags: huur; w&v"
4105;Energiekosten;W;Winst & Verlies;RGS versie 3.5;WBedHuiGweElk;Elektra huisvestingskosten;120;Overige kosten;Debet;D;W&V;energiekosten | tags: w&v
4110;Onderhoud gebouwen;W;Winst & Verlies;RGS versie 3.5;WBedHuiOng;Onderhoud gebouwen huisvestingskosten;121;Algemene kosten;Debet;D;W&V;"onderhoud gebouwen | tags: gebouw; huisvesting; pand; w&v"
4120;Verzekeringen gebouwen;W;Winst & Verlies;RGS versie 3.5;WBedHuiAoz;Assurantiepremies onroerende zaak huisvestingskosten;121;Algemene kosten;Debet;D;W&V;"verzekeringen gebouwen | tags: gebouw; huisvesting; pand; verzekering; w&v"
4130;Vaste lasten gebouwen;W;Winst & Verlies;RGS versie 3.5;WBedHuiOvh;Overige vaste huisvestingslasten huisvestingskosten;121;Algemene kosten;Debet;D;W&V;"vaste lasten gebouwen | tags: gebouw; huisvesting; pand; w&v"
4140;Schoonmaakkosten;W;Winst & Verlies;RGS versie 3.5;WBedHuiSch;Schoonmaakkosten huisvestingskosten;121;Algemene kosten;Debet;D;W&V;schoonmaakkosten | tags: w&v
4150;Beveiligingskosten;W;Winst & Verlies;RGS versie 3.5;WBedHuiOvh;Overige vaste huisvestingslasten huisvestingskosten;90;Algemeen;Debet;D;W&V;beveiligingskosten | tags: w&v
4180;Mutatie voorziening groot onderhoud;W;Winst & Verlies;RGS versie 3.5;WBedHuiDvg;Dotatie voorziening groot onderhoud gebouwen huisvestingskosten;120;Overige kosten;Debet;D;BOTH;mutatie voorziening groot onderhoud | tags: balans_en_w&v
4190;Overige huisvestingskosten;W;Winst & Verlies;RGS versie 3.5;WBedHuiOhv;Overige huisvestingskosten huisvestingskosten;121;Algemene kosten;Debet;D;W&V;"overige huisvestingskosten | tags: gebouw; huisvesting; pand; w&v"
4200;Huur machines en installaties;W;Winst & Verlies;RGS versie 3.5;WBedEemHum;Huur machines exploitatie- en machinekosten;121;Algemene kosten;Debet;D;W&V;"huur machines en installaties | tags: huur; w&v"
4210;Onderhoud machines en installaties;W;Winst & Verlies;RGS versie 3.5;WBedEemOme;Onderhoud machines exploitatie- en machinekosten;121;Algemene kosten;Debet;D;W&V;onderhoud machines en installaties | tags: w&v
4220;Verzekeringen machines en installaties;W;Winst & Verlies;RGS versie 3.5;WBedEemAme;Assurantiepremie machines en inventaris;121;Algemene kosten;Debet;D;W&V;"verzekeringen machines en installaties | tags: verzekering; w&v"
4230;Brandstoffen machines en installaties;W;Winst & Verlies;RGS versie 3.5;WBedEemBrm;Brandstof machines exploitatie- en machinekosten;121;Algemene kosten;Debet;D;W&V;brandstoffen machines en installaties | tags: w&v
4240;Klein materiaal;W;Winst & Verlies;RGS versie 3.5;WBedEemKam;Kleine aanschaffingen machines exploitatie- en machinekosten;121;Algemene kosten;Debet;D;W&V;klein materiaal | tags: w&v
4245;Blanco exploitatiekosten;W;Winst & Verlies;RGS versie 3.5;WBedEemOee;Overige exploitatie- en machinekosten;121;Algemene kosten;Debet;D;W&V;blanco exploitatiekosten | tags: w&v
4290;Overige exploitatiekosten;W;Winst & Verlies;RGS versie 3.5;WBedEemOee;Overige exploitatie- en machinekosten;121;Algemene kosten;Debet;D;W&V;overige exploitatiekosten | tags: w&v
4400;Motorrijtuigenbelasting;W;Winst & Verlies;RGS versie 3.5;WBedAutMot;Motorrijtuigenbelasting auto's autokosten;121;Algemene kosten;Debet;D;W&V;motorrijtuigenbelasting | tags: w&v
4410;Onderhoud vervoermiddelen;W;Winst & Verlies;RGS versie 3.5;WBedAutRoa;Reparatie en onderhoud auto's autokosten;121;Algemene kosten;Debet;D;W&V;"onderhoud vervoermiddelen | tags: auto; vervoermiddel; w&v"
4420;Verzekeringen vervoermiddelen;W;Winst & Verlies;RGS versie 3.5;WBedAutAsa;Assurantiepremie auto's autokosten;121;Algemene kosten;Debet;D;W&V;"verzekeringen vervoermiddelen | tags: auto; vervoermiddel; verzekering; w&v"
4430;Brandstoffen;W;Winst & Verlies;RGS versie 3.5;WBedAutBra;Brandstofkosten auto's autokosten;121;Algemene kosten;Debet;D;W&V;brandstoffen | tags: w&v
4440;Leasekosten;W;Winst & Verlies;RGS versie 3.5;WBedAutOpa;Operational leasing auto's autokosten;121;Algemene kosten;Debet;D;W&V;leasekosten | tags: w&v
4450;Boetes vervoermiddelen;W;Winst & Verlies;RGS versie 3.5;WBedAutBeb;Boetes en bekeuringen autokosten;121;Algemene kosten;Debet;D;W&V;"boetes vervoermiddelen | tags: auto; vervoermiddel; w&v"
4460;BTW privé gebruik auto;W;Winst & Verlies;RGS versie 3.5;WBedAutPga;Privé-gebruik auto's autokosten;121;Algemene kosten;Debet;D;BOTH;"btw privé gebruik auto | tags: auto; balans_en_w&v; btw; vervoermiddel"
4461;BTW privé gebruik auto;W;Winst & Verlies;RGS versie 3.5;WBedAutPga;Privé-gebruik auto's autokosten;110;Omzet;Credit;C;BOTH;"btw privé gebruik auto | tags: auto; balans_en_w&v; btw; vervoermiddel"
4470;Privégebruik auto;W;Winst & Verlies;RGS versie 3.5;WBedAutPga;Privé-gebruik auto's autokosten;121;Algemene kosten;Debet;D;W&V;"privégebruik auto | tags: auto; vervoermiddel; w&v"
4480;Kilometervergoeding;W;Winst & Verlies;RGS versie 3.5;WBedAutKil;Kilometervergoeding autokosten;121;Algemene kosten;Debet;D;W&V;kilometervergoeding | tags: w&v
4490;Overige autokosten;W;Winst & Verlies;RGS versie 3.5;WBedAutOak;Overige autokosten autokosten;121;Algemene kosten;Debet;D;W&V;"overige autokosten | tags: auto; vervoermiddel; w&v"
4500;Managementfee;W;Winst & Verlies;RGS versie 3.5;WBedOvpMaf;Management fee overige personeelskosten;121;Algemene kosten;Debet;D;W&V;managementfee | tags: w&v
4510;Mutatie voorziening dubieuze debiteuren;W;Winst & Verlies;RGS versie 3.5;WBedVkkDvd;Dotatie voorziening dubieuze debiteuren verkoop gerelateerde kosten;121;Algemene kosten;Debet;D;BOTH;"mutatie voorziening dubieuze debiteuren | tags: balans_en_w&v; debiteuren"
4515;Afboeking oninbare debiteuren;W;Winst & Verlies;RGS versie 3.5;WBedAlkOal;Algemene kosten andere kosten;121;Algemene kosten;Debet;D;W&V;"afboeking oninbare debiteuren | tags: debiteuren; w&v"
4520;Representatiekosten;W;Winst & Verlies;RGS versie 3.5;WBedVkkRep;Representatiekosten verkoop gerelateerde kosten;121;Algemene kosten;Debet;D;W&V;representatiekosten | tags: w&v
4530;Relatiegeschenken;W;Winst & Verlies;RGS versie 3.5;WBedVkkRel;Relatiegeschenken verkoop gerelateerde kosten;121;Algemene kosten;Debet;D;W&V;relatiegeschenken | tags: w&v
4540;Reis- en verblijfkosten;W;Winst & Verlies;RGS versie 3.5;WBedVkkRev;Reis- en verblijfkosten verkoop gerelateerde kosten;121;Algemene kosten;Debet;D;W&V;reis- en verblijfkosten | tags: w&v
4550;Giften / sponsering;W;Winst & Verlies;RGS versie 3.5;WBedVkkKos;Kosten sponsoring verkoop gerelateerde kosten;121;Algemene kosten;Debet;D;W&V;giften / sponsering | tags: w&v
4560;Reclame- en advertentiekosten;W;Winst & Verlies;RGS versie 3.5;WBedVkkRea;Reclame- en advertentiekosten verkoop gerelateerde kosten;121;Algemene kosten;Debet;D;W&V;reclame- en advertentiekosten | tags: w&v
4565;Blanco verkoopkosten;W;Winst & Verlies;RGS versie 3.5;WBedVkkOvr;Overige verkoopkosten verkoop gerelateerde kosten;121;Algemene kosten;Debet;D;W&V;blanco verkoopkosten | tags: w&v
4570;Kleine ondernemersregeling;W;Winst & Verlies;RGS versie 3.5;WBedVkkOvr;Overige verkoopkosten verkoop gerelateerde kosten;121;Algemene kosten;Debet;D;W&V;kleine ondernemersregeling | tags: w&v
